question1	question2	is_duplicate
썸 지났는데 고백 안하면?	썸 지났는데 고백 안하면?	0
미치겠습니다	미친 사랑을 했습니다.	1
남친이 데이트 시간을 자꾸 늦어.	남친이 약속 시간을 자꾸 늦어.	0
할 말이 없다.	뭐라고 할 말이 없네	0
좀 맞자	죽을래?	0
썸인가요	썸인가요	0
짧은 연애였는데 더 힘드네.	쩝 전여친이랑 통화 한 번하니 좀 낫네	1
과거에 얽매여 있어	괜찮다 나는 괜찮다	1
고민이 많은데 표현을 못하겠어	고민을 어떻게 표현하지	0
부산 갈까?	부산 놀러갈까?	0
저 사람이 왜 자꾸 볼까?	저는 전 여친 관련해서 거의 모든걸 다 지웠어	1
풋풋한 사랑 하고 싶어.	풋풋한 사랑 하고 싶어.	0
어떤 마음인걸까	어떻게 하면좋을까	1
심심한데 뭐 재미있는거 없을까	심심하다고	0
술 취해서 지갑 잃어버렸어	술 먹고 지갑 잃어버렸어	0
할줄 아는거 	뭐 할줄 알아	0
긴장 푸는 법 알려줘	긴장돼	0
걷자고 꼬셔	게임 아이템 지르는 남친	1
다들 우리 잘 어울린대	더 사랑해달라고 말해볼까	1
썸을 오래 탔는데 사귀어도 괜찮은 사람일까?	썸을 오래 탔는데 사귀어도 괜찮겠지?	0
일이랑 공부 병행 가능?	일하면서 공부할 수 있을까?	0
내가 첫사랑이래	내가 첫 연애래	0
속이 안 좋아	속이 계속 안 좋아	0
새치가 왜 이렇게 많을까	새치가 왜 이렇게 많이 나지?	0
카페에서 같이 알바하는 사람이 좋아졌어요.	카페 알바생이 좋아졌는데 들이대도 괜찮을까?	1
크리스마스 다음날 이별했습니다.	퇴근길에 봤네	1
여행지에서 마음에 드는 사람 만났어	여행 와서 맘에 드는 사람 만났어	0
남자친구랑 멀리 떨어져야할 거 같은데 어쩌지?	남자친구의 과거의 동거를 이해해줄 수 있어?	1
여린 마음에 상처준 건 아닐까?	여린 마음에 상처준 건 아닐까?	0
핸드폰 없을 때는 어떻게 살았냐?	핸드폰 너무 많이 해	0
남자친구가 나를 떠날까봐 고민이야.	남자친구가 떠날까봐 고민이야.	0
이별 한달인데 가슴이 답답한게 아직도	이별 후 그사람과 마주치는 거	1
처음 보는 사람이랑 뭔 말을 하지	처음 보는 애랑 무슨 얘기하지	0
재회했다가 이별 .	저는 개인적으로 따로 연락하자는분들.	1
내가 좋아하는 거 모르나	내가 좋아하는 거 모르는 거 같애	0
사랑이 뭘까?	사랑하던 그 사람.	1
시선이 자꾸 느껴져	다른 사람의 시선이 너무 신경쓰여	0
썸에서 연애로 못넘가요	썸에서 연애로 넘어갔어요	0
싫어졌다가 좋아지는 경우도 있나요?	싫어졌다가 좋아지는 경우도 있나요?	0
오토바이 타러 가고 싶다.	오토바이 타고 싶다	0
빵 한 개만 먹어야지	빵 먹어야지	0
소개팅남 연락이 없어	소개팅하고 연락이 안 와	0
잘못한게 돼버렸어	다 내 잘못이지	0
너무 힘든데 조언 좀	너무 힘들어서 정말 너무 힘들어	1
권태기라고 이별을 통보하는 사람	그 사람에게 여자가 생겼네. .	1
이별준비 하려고	이별하고 욕했어	1
그는 내가 좋아하는 이 상황을 즐기는 것 같아.	내가 좋아하는거 즐기는 것 같아.	0
잠 잘못 잤나봐	잠을 잘못 잤나	0
난방이 안돼나 추워	난방이 안돼	0
기회를 놓쳤어	기회를 못 잡았어	0
여친이 나를 좋아하는게 맞는지 모르겠음.	이게 맞는지 모르겠음.	1
집이 더러워	집이 너무 지저분해	0
왜 이런 일이 일어날까	나한테만 왜 이런 일이 일어날까	0
짝녀랑 얼굴 마주보고 대화할 때 미칠 것 같아.	짝녀랑 얼굴 마주보고 대화할 때 미칠 것 같아.	0
모태솔로인데 어떻게 시작해?	연애 처음인데 어떻게 시작해?	0
짝남이 갑자기 못나 보여.	짝남이 갑자기 못나 보여.	0
여자친구 보고만 있어도 좋아	여자친구 좋아	0
세상 참 모르는 일이네	소개팅 거절도 힘든거네.	1
연락 계속 오면 관심 있는 거야?	연락 문제로 지쳐가	1
신혼여행 가서 돌아오기 싫다	아무도 안 놀아줘	1
쓸쓸하다	고독한 밤	0
나 편안해질까?	나는 더 이상 아닌거겠져.	1
잠시라도 좋으니 만낳 수 있을까	장가간 그사람	1
오늘 따라 보고 싶네	오늘 따라 더 보고 싶네	0
헤어진 여친 생각나	전여친 보고 싶어	0
점심시간 너무 짧아	점심시간 너무 짧아	0
2년간 연애 끝에 헤어집니다	2년만에 연락을 했습니다.	1
또 한번의 무너짐	또다시 찾아오는 밤	1
나를 사랑해줄 사람 언제 나타날까	조금 더 노력할걸	1
나만 왜 이렇게 사랑이 힘들까	나이 차이 많이 나는 여자 어때?	1
열받아서 소주 한 잔 해야할 듯	한강에서 소주 마시는 중	1
상견례 날짜 잡아야되는데	상견례 하자고 하시네	1
이틀전 그녀에게 연락이 왔습니다	이혼한지 일년이 넘었네	1
헉	어머나	0
사귀던 사람이 갑자기 연락이 안돼	사귀던 사람이 갑자기 연락이 안돼	0
헤어졌는데 계속 연락중	헤어졌습니다 이제 어떡하면 되나?	1
이별. 무뎌짐	이별.그리고 노래	1
내가 만난 최악의 여자	내가 얼마나 찾아야 할까.	1
보고싶다는 생각이 너무 간절하네	보고 싶은데	0
영원한 사랑이 되길	영원한 사랑 하고 싶다.	0
썸 깨지고	썸만 타다가 깨졌어	0
데이트로 놀이공원 가는거 어때?	놀이공원 데이트 어때?	0
짝녀가 나한테 먼저 연락올 일은 없겠지?	짝녀가 나한테 먼저 연락올 일은 없겠지?	0
아직도 좋아하는 사람이 있는데.	혼자 좋아하는 이야기 들어볼래요?	1
예랑이가 마마보이인듯	예비 신랑이 마마보이같아 걱정이야	0
누군가를 좋아하는게 이렇게 힘들줄 알았다면 시작도 안했을거야.	누군가를 좋아하는게 이렇게 힘들줄 알았다면 시작도 안했을거야.	0
발목 접질렀어	발목 다쳤어	0
여자인데 먼저 대쉬해도 됨?	여자인데 먼저 대쉬해도 됨?	0
좋아하는 사람한테 고백 안하는 사람도 있나요?	좋아하는 사람한테 만나자고 말해도 되나.	1
이별 2일째.	이별 6개월후	1
헤어진지 4일째 네	헤어진지 9일	1
한달의 시간을 갖자고 했지만 이별의 수순일 뿐인것 같네	한달째 클럽에서 죽치고 있을뿐	1
이사 도와줘야 할까	이사하는 거 도와줄까	0
안경 벗으니까 완전 예뻤어	안경 벗고 완전 훈녀	0
막말 쩔어	막말 좀 안 했으면 좋겠다	0
날 사랑하는 이유가 뭘까?	남사친이 남자로 느껴질때 있어?	1
남자친구가 마중 나온대	남친이 나 마중 나온대 헤헤	0
썸 타는 여자애 상메 궁금해.	후회없이 사랑하고 싶어	1
걔는 싸우면 연락이 안돼	싸우면 잠수하는거 짜증나.	0
싸우면 어떻게 해결해?	싸우면 보통 어떻게 해결해?	0
햇볕이 너무 좋다	오늘 햇볕 좋다	0
매번 글쓸때마다 상황설명하라고 해	매일 계속되는 악몽과 불면증	1
차가워	손발 시려	0
졸업 사진 잘 못 찍었어	졸업 사진 망했다	0
끝까지 절 갖고 놀더군	끝내는게 맞을까	1
위장에 탈 난 거 같아	위병 난 거 같아	0
이렇게 갈 거였구나	그렇게 갈 거면서	0
짝녀한테 의미 없는 선톡 해도 될까요?	짝녀한테 의미 없는 선톡 해도 될까요?	0
평범함 속에 웃음 속에 감쳐진 나	폰 자꾸 보게 돼	1
할 줄 아는거	너 또 뭐할 줄 알아?	0
이불 밖은 위험해	집 밖에 나가기 싫어	0
연락 못하는 아픔.	연락을 하면 안되는구나	1
여자친구와 커플링 꼭 해야함?	커플링 꼭 해야 함?	0
짝남 있는데 소개 들어오면 받나요?	짝남 있는데 소개 들어오면 받나요?	0
사랑없이 결혼한 케이스 있어?	사랑타령 그만하고 결혼하고 싶다.	1
김치찌개 먹어야겠다.	점심에 김치찌개 먹어야지	0
사랑하면 뭐가 달라져?	사랑하면 사람이 바껴?	0
자고 일어났더니 하루 다갔어.	잠만 잤네	0
아무것도 아닌 일이 될 수 있을까	아무리 매달려도	1
수염 자르지 말까	수염 기를까	0
마음을 못열겠어요 	면접을 봤는데 마음에 드는 사람이 없었나봐	1
못하는거 투성이야	못하는게 너무 많아	0
썸 타던 남자가 답장이 안와	썸 타던 남자가 카톡이 안와	0
앞으로 조심해야겠다.	조심조심	0
우정이 뭘까	우정이 뭐야?	0
내 여자하자.	내가 사랑해도 될까?	1
잘 할 수 있을지 걱정 돼	잘 할 수 있을까?	0
직장에서 상사가 괴롭혀.	상사가 갈궈.	0
농사 짓고 살까?	귀농 어때?	0
인연이란게 있을까?	인연이 있다고 생각해?	0
손톱이나 깎아야지	손톱에 예쁘게 칠해야지	1
뭔가 무력해	무력하고 피곤해.	0
아파	아파서 어떡해	0
여자친구한테 더 이상 설레지 않아	여자친구한테 더 이상 설레지 않아	0
이별후 네달째	이별후 재회 그리고	1
이별 후 6달째. 이제 그만좀 잊고 싶어	이별 후 두달 경과보고서	1
한폭의 그림 같은 우리	한폭의 그림 같이 예쁘게 사랑하고 싶다.	1
니 물건들 잡동사니들다 버려달라고 부탁했는데	니가 원망스러워	1
정말 모든게 그립지만.	정말 사람이란	1
남자친구가 변해가는거 같아.	남자친구가 너무 변해가는거 같아.	0
목표가 없어	목표가 없어서 걱정임	0
헤어지고 나서 알았어 사랑했다는 걸	헤어지고 나서 사랑했다는 걸 알았어	0
짝남은 짝남일 뿐인가.	짝남은 짝남일 뿐인가.	0
변한게 하나도 없어	변한게 없어	0
사랑하는데 여자친구가 너무 이기적이야.	여자친구가 너무 이기적이야.	0
이제야 깨달음	이젠 놓아주려 해	1
이별을 기다기는건지 아닌지	이별을 빨리 인정해야 하는데.	1
한달 만에 보는 너에게	한달째	1
의욕이 안 생겨	의욕이 없어	0
에혀 힘드네여	여기 글들을 보니깐	1
조언 듣고 싶다.	인생에 정답이 있나?	1
짝사랑한 만큼 상처도 깊어져.	짝사랑한 만큼 상처도 깊어져.	0
몰래 sns 훔쳐보고 있는 나 한심해	몸이 아프니깐 더 힘드네	1
오늘 화장 좀 잘된다	부모님이 허락 안해주셔	1
길에서 번호 따였어	길에서 헌팅 당했어	0
남자친구가 진짜 잘 챙겨줘	남자친구가 잘 챙겨줘서 고마워	0
누가 문열다 내차 긁었어	문콕당했어	0
어떻게 하면 좋을까.	어떻게!	0
눈썹이 귀여워	눈썹이 씰룩씰룩	0
세금 너무 많아	세금 너무 많이 내는 거 같애	0
카톡하고 싶고 자꾸 생각나고 그러면 좋아하는 건가?	카톡하고 싶고 자꾸 생각나고 그러면 좋아하는 건가?	0
친구들이랑 셀프 이사	친구가 이사하는 거 도와준대	0
단둘이 놀자	데이트 할때 너무 많이 먹는 남자친구가 고민이야.	1
행복해야 돼	허허 모든 것을 다 줬는데	1
나쁜 꿈 꿨어	악몽 꿨어	0
너무 많은 걸 바래	나한테 너무 많은 걸 바라는 듯	0
바나나 먹고 싶다.	바나나 먹어야지	0
임용 결과 발표 기다리고 있어	임용 기다리고 있어	0
안 데려다 줬어	데려다 주지도 않고	0
발레 배우려고	발레 배워보려고	0
나를 좋아하는데 숨기는 사람한테 나도 좋아한다고 어떻게 표현해?	좋아한다고 말 못하는 사람에게 나도 좋고 어떻게 말해?	0
쉬운 것만 하고 싶다.	주위에 잘하는 사람 너무 많아	1
조금만 더 참을껄	조언 부탁드립니다	1
충전해야겠다	핸드폰 충전해야지	0
내 강점은 어떤걸까?	내가 더 잘하는 건 뭘까	0
챙길게 너무 많아	하나부터 열까지 챙길게 너무 많아	0
정말 사랑했어	맘 속 깊이 사랑했는데	0
좋아하는 사람한테 집까지 데려달라고 부탁해볼까?	좋아하는 사람한테 집까지 데려달라고 부탁해볼까?	0
매년 좋아하는 애가 바뀌었는데 어떡하죠.	좋아하는 애가 매년 바뀌는데 어떡하죠.	0
불타올랐다가 식었어	너무 좋았는데 이제 식었나봐	0
나 잘하고 있는 걸까?	나 잘하고 있는 건지 모르겠어	0
썸 타는 중인데 나 말고 다른 사람하고도 썸타는 것 같아.	나 말고 다른 사람하고도 썸타는 것 같아.	0
사랑하는 사람 만나서 행복해	결혼 약속할 만한 사람 만나서 다행이다	1
듬직한 사람이 좋아	기댈 수 있는 사람	0
늦게 까지 술 먹나 보다	술만 먹으면 집에 늦게 와	0
자신감 업되는 비결 좀	자신감을 갖고 싶어	0
사랑이 뭐길래	사랑이 뭐길래 이렇게 힘들게 하지	0
첫 데이트에 뭐 먹는걸 좋을까?	첫 데이트에 뭐 먹는걸 좋을까?	0
짝사랑 하면 무슨 기분인지 알긴 해요?	짝사랑 하면 무슨 기분인지 알긴 해요?	0
짝남 보란듯이 잊어주겠어.	짝남 못 잊겠어.	1
화장이 안 받네	화장이 안 먹네	0
돈 없어 투잡이라도 해야할까 	투잡 뛰어야 하나?	0
사랑하면 마냥 좋은 건 아닌 거 같아	사랑한다고 다 좋은 건 아닌 거 같아	0
섬유유연제 향 좋은거 사야겠지	섬유유연제 향 좋다	0
대부분 무덤덤한 남자친구가 고민임.	데이트중에 정적 있어도 괜찮을까?	1
애들 총회에 왜 나를 오라고 하냐	애들 총회 가야겠죠?	0
효율적으로 공부하는 방법	새 해 결심 뭐였더라	1
원서 낸거 1지망에서 떨어졌어	1지망 학교 떨어졌어	0
정말.내 자신이 싫다	정말잊어보려고 모든수단을 동원했지만.	1
똑같은 나날들	요즘 너무 지루해	0
좋은 대학 나온 사람 부러워	좋은 대학 나온 거 부러워	0
참 힘드네	참다가 연락	1
여자친구가 나를 sns에 올리지 않아서 서운해.	여자친구가 나를 sns에 올리지 않아서 서운해.	0
붙잡고 싶은데 힘이 드네	비가 많이 오니까. 너가 떠오른다.	1
화장 좀 예쁘게 하고 싶다	화장 잘 하고 싶다	0
착한 사람이 잘 됐으면 좋겠어	착한 사람이 잘 됐으면 좋겠어 좀	0
연차 내고 누워만 있네	오늘 6년이란 시간을 정리했습니다.	1
약 먹었더니 졸려	약 기운에 졸음이 몰려왔어	0
걔랑 같은 반 됐으면 좋겠다	좋아하는 애랑 같은 반 됐으면 좋겠다	0
뭘 해도 재미없다.	재미없는 일밖에 없어	0
나를 좋아하는 사람이 있는데 철벽치게 돼요.	좋아해 주는 사람이 있는데 철벽치게 돼요.	0
심심해	썼다 지우고 다시 썼다가 지우고	1
방에 먼지가 한가득	먼지가 쌓였네	0
매운 국물 떡볶이 먹고 싶다	떡볶이 먹고 싶다	0
짝사랑만이 답일까.	짝사랑만이 답일까.	0
밥이 없어	집에 먹을게 없어	0
완전히 정리했어	왜 끝내지 못하는거죠?	1
왜그랬어?	외로운 지금 이 순간을 강해지고 있다는 생각으로 살고 싶다.	1
만든 사람	누가 만들었니?	0
좋아하는데 이전과 다를게 없을까봐 말을 못하겠음.	좋아하는데 이전과 다를게 없을까봐 말을 못하겠음.	0
머리에서 열날거 같다.	머리만 바빠	0
나 너무 못생겼어	이미 망하고 있는거 아닌가? 	1
남자친구가 질투하는 거 귀여워	남자친구가 질투하는 거 귀여워	0
바다에서 놀고 싶다.	오늘은 파도가 잔잔하네	1
어떤 여자가 나한테 끼 부려	어떤 여자가 나한테 끼 부려	0
여자들은 남자가 자기 좋아하는거 눈치 잘 채?	여자들은 보통 남자가 자기 좋아하는거 눈치 잘 채?	0
허리가 많이 아파	허리가 아파	0
사랑하는데 꼭 결혼해야할지는 모르겠어요	사랑하는데 결혼까지는 아직 생각 안해 봤어	0
전여자친구 잊고 사랑하는법.	전여친 헤어졌으니 남이죠?	1
만난지 이틀만에 고백받았어	만난지 이틀만에 그 사람한테 고백받았어	0
소화가 안돼	과식해서 소화가 안돼	0
인형 뽑기 돈만 날렸어	인형 뽑기 어려워	0
여자친구가 나 사랑하는 건지 모르겠어	여자친구가 나 사랑하는 건지 모르겠어	0
그녀에게 연락이 왔습니다	그녀와 헤어지고 느낀게 많네	1
쌍커풀 해볼까	쌍커풀 해볼까	0
넥타이핀 선물 괜찮겠지?	넥타이핀 정도는 선물로 줘도 괜찮겠지?	0
내일 뭐 입고 나갈까	내일 뭐 입지	0
사랑에도 유효기간이 있다는데	사랑에도 유효기간 있나요	0
내가 뭘 잘못했을까	내 잘못이 뭔지 모르겠어	0
체육복 또 까먹었어	체육복 안 가져 왔다	0
돈 벌면 뭐하나	돈 벌어서 뭐하지	0
그냥 혼자 있는게 좋아	혼자 있고 싶다	0
팔로우 왜 안해주지	SNS 맞팔 왜 안하지ㅠㅠ	0
그녀가 떠났습니다	그녀는 무슨 생각일까?ㅠ	1
후련하네여	말하고 나니 후련하네여	0
갑자기 무너져버린 내자신	갑자기 화가나서 싸우고	1
이발 어떻게 할까	머리 어떻게 깎을까?	0
이건 뭐 혼자 썸타는 기분이야.	썸타는데 나만 그런거 같아	0
나를 좋아하는 애랑 친구 가능?	사랑한다는데 친구 가능?	0
짝남에게 빼빼로 줘도 될까	짝사랑한테 빼빼로 줘도 될까	0
기프트콘으로 선물해야겠다	기프트콘 선물해볼까?	0
재회 그리고 다시 이별	재회 후 이별에는 후폭풍이 없는줄 알았는데	1
좋아하는 남자애한테 발렌타인데이 때 초콜릿 줄까?	좋아하는 마음을 감출길이 없어.	1
짝남이 오늘 야근이래. 문자 한 통 보낼까	짝남 있는데 실수했어. 챙피해	1
썸남 꿈 꿨어.	썸남 꿈 꿨어.	0
밤 12시야	12시 땡!	0
이별한지 두달이 넘고 얼굴 안본지 한달이 넘은	이별한지 한달된 남자입니다.	1
아직도 사랑하는 거 같아	나만 좋아하는 것 같아	1
햇살이 좋아요 산책 해야겠어요	오늘 산책할 날씨에요	0
발표할때 자꾸 떨려	발표할때 너무 떨려	0
썸 정리 어떤 식으로 해야 할까	썸 타는 사람이랑 마음 정리 어떤 식으로 해야 할까	0
카페 대신에 갈만한 곳?	카페 말고 갈만한 곳?	0
치맥데이	오늘은 치맥이야	0
헤어진지 한 달.아직도 힘드네	헤어진지 한달 됐어.	1
여자친구의 회사가 내가 다니는 회사랑 너무 비교돼	여자친구의 회사가 내가 다니는 회사랑 너무 비교돼	0
사랑하는 사람 사이에는 보이지 않는 끈이 있을까?	사랑하는 사람 사이에는 보이지 않는 끈다는 말 믿어?	1
전여친 최악입니다	전여친이 나보다 나은 사람이라는 생각이 자꾸 들어	1
좋아하는 것과 사랑하는 것의 차이가 있나?	사랑인지 어떻게 아나요?	1
놀아 줄 사람이 없어	눈물	1
공부하기 싫어	공부하기 싫은 날	0
첫이별후 제가 가장 충격먹었던게.음	추석연휴가 그렇게 좋지만은 않다.	1
어릴땐 누군가를 참 쉽게 좋아했는데 지금은 어려워.	어릴땐 누군가를 참 쉽게 좋아했는데 지금은 어려워.	0
연락처좀 바꿔 주라	연락해보는게 좋을까	1
엄마아빠랑 다시 같이 살아야돼	에휴	1
여사친이랑 잘되고 싶다	여사친이랑 잘되고 싶다	0
버려줘서 고마워.	벌써 6개월째라니	1
썸 중인거 이야기할까	친구한테 썸 중인거 이야기 해야하나	0
시련	싫어지는것.	1
짜증나	보기만해도 짜증이 나지	0
서로 좋아하게 되는건 운명같은 일이었어.	사랑은 운명같은 일이었어.	0
맞춤 정장 했어	맞춤 정장 샀어	0
썸이 날 싫어하는 꿈을 꿨어.	썸이 날 싫어하는 꿈을 꿨어.	0
나랑만 연락하면	나랑만 연락하면 좋겠다.	0
하루종일 맘 상한게 안풀려	하루종일 속상해	0
관절염인가	관절염 같애	0
만난지 얼마 안됐는데 고백받았어	만난지 얼마 안됐는데 벌써 고백받았어	0
휴학하고 싶다.	휴학할까	0
황당하지만 재미난 일이 생겼네ㅎㅎ	후 좀 낫네여	1
자신과의 싸움중에서 이제 이틀째 날	자존감이 떨어져 있는 지금.	1
남친 프로필에 내 사진 왜 안올릴까	남친 프사에 내 사진 없어	0
뭔 비밀이 그렇게 많은지	비밀이 너무 많은 거 같아	0
텀블러 까먹었다.	텀블러 안 가져 왔다	0
남자 여자 나이차가 어느정도 나야 적당한건가	나이차이 많이 나는 누나가 좋은데.	1
전학가게 됐어	이사가서 전학가게 됐어	0
이런 나를 좋아해주는 사람이 있을까?	이런 나를 좋아해주는 사람이 있을까?	0
몸살 났나봐	몸살 나서 힘들어	0
이 사람은 도대체	이거 참 뭐하고 있는건지	1
이별극복후 새로운 설렘	이별밖에 방법이 없을까?	1
짝사랑 하는 사람이 날 좋아할리는 없겠지?	짝사랑 하는 사람이 날 좋아할리는 없겠지?	0
위층 너무 시끄러워	층간소음때매 환장하겠어	0
친구들과의 모임이 너무 많은 사람	모임이 너무 많은 사람	0
미팅 할까 말까	미팅 할까	0
키가 크면 좋을텐데	키가 조금만 더 컸으면 좋겠어	0
천년의 짝사랑이 식는 기분.	천년의 짝사랑이 식는 기분.	0
그와 같은 조가 되고 싶은데 먼저 말해볼까?	같은 조하자고 먼저 말해볼까?	0
애프터까지 왔는데 연락이 뜸해.	애프터까지 왔는데 연락이 뜸해.	0
사귄지 5년 됐는데 아직도 좋아	5년 동안 사귔는데 사랑해	0
학교에서 아싸해도 될까?	대학에서 아싸해도 될까?	0
이제야 좀 잊혀지네	이젠 눈물이 말라버렸나 봅니다.	1
앞으로 뭐하고 살지	뭐하고 살지	0
정말 후회없고 미련없이 사랑했던 사람들!!!	정말 힘들다	1
희망이 딱히 없어	장래희망이 없어	0
여자 마음 너무 복잡해	여자 마음 알다가도 모르겠어	0
너무 잘하는 후배가 들어왔어	후배가 너무 잘해	0
7년이 지났는데 아직 가끔 소식이 궁금해~	벌써 이별한지 7개월 넘어가네	1
이별은 필수입니다	이별을 받아들여야 하는데 생각이 자꾸 나네	1
아부 잘 하는 사람 부러워	아부도 기술인가봐	0
짝남있던 단톡방에 술 마시고 실수했어.	짝남있던 단톡방에 술 마시고 실수했어.	0
남자가 더 사랑해서 한 결혼	남편이 더 사랑해서 한 결혼	0
이제 취업 해야할 텐데	취업하고 싶다	0
과거는 잊고 앞으로 나아 가야지	과거는 중요하지 않아	0
배 터지게 먹었어	너무 많이 먹었나봐. 완전 배불러	0
클럽 가고 싶은데 말할까	클럽가고 싶은데 말하고 갈까	0
썸 타는데 고민 있어.	썸 타는 중인데 고민 있어.	0
선물로 인형 받았어	인형 선물 받았어	0
남친이 안 좋은 사이트를 하는거같아.	남친이 이상한 사이트를 들락거려.	0
짝사랑 포기하려니까 우울해.	짝사랑 포기하려니까 우울해.	0
친구들한테 인정받을 수 있을까	나 친구들한테 인정받고 싶어	0
서른초반. 전 즘 게시글 보며 안타까워.	세상 젤 아픈 이야기는.!!	1
사랑과 우정 사이	사랑과 우정 사이에 우리들	0
남친 승진 선물 추천	남자친구 승진 선물로 뭐가 좋을까?	0
기념일은 언제언제 챙겨?	기념일은 챙겨?	0
헤어진 사람이 생각나는데 어떻게 견디지	헤어진 여자친구를 다시 만나고 싶어	1
썸 타던 사이인데 부담 돼. 연락 무시해도 될까?	썸 타던 사이인데 이제 부담 돼. 연락 씹을까	0
집안일이 안 끝나	집안일 해도 해도 안 끝나	0
지긋지긋한 연휴.	지독하고 질긴 인연을 끝내려고 해	1
돈 많이 벌었으면 좋겠어	돈 많이 벌고 싶어	0
공부하기 힘들다	과거가 발목을 잡아	1
너무 답답해서 글올려	너무 보고 싶습니다.	1
답답한 마음만 드는 내 사랑	오랜 연애 끈을 놓을까?	1
짝남이 나한테 관심 없어보여도 계속 연락하고 들이대?	짝남이 나한테 관심 없어보여도 계속 연락하고 들이대?	0
전세집 구했어	전세 계약했어	0
너무 초라해지는 느낌이야	내가 너무 초라해	0
가족끼리 엄청 친한 사인인데 좋아하게 됐어요.	고백했다 차이거나 헤어지면 어떡하죠.	1
학교 가서 어떻게 얼굴 보지	학교 가면 볼텐데	0
한약은 왜이렇게 쓰지	한약 너무 써	0
무기력증 극복하는 방법	무기력증 어떻게 극복하지?	0
영화 추천	어떤 영화 볼까	0
한 번 보고 어떻게 판단하지	첫인상은 뭘로 판단할까	0
이무슨 신의 장난인지	이별 10일째 되어가네	1
사랑의 아픔은 사랑으로 치료한다	사랑이란 뭘까?	1
좋아하는 여자한테 선물해도 괜찮을까?	좋아하는 여자한테 선물해도 괜찮을까?	0
이제 기다리는게 습관 같아	기다림이 습관이 됐나봐	0
재미 없는 하루	그저 그런 하루	0
정말 무슨생각인지 궁금하네	정말 서로 좋았는데 엊갈림.	1
어떻게 해?	신기하다	1
재밌었겠네	함께 피맥 먹고 싶다.	1
또 야근	야근 좀 그만하고 싶어	0
긴연애의 끝인가	꼭 잡고 싶습니다	1
마지막 문자 아직도 가지고 있어	마지막 이별	1
완전 시간 아까워	시간 아까워	0
연락 없더니 갑자기 왜 만나자고 하지?	왜 이제 만나자고 했을까?	0
저녁밥 뭐 먹냐?	저녁 뭐 먹지?	0
여자친구가 소극적이야.	여자친구가 소극적이야.	0
미친 사람들이 너무 많아	사이코가 너무 많아	0
쌍커풀성형할까	성형할까	0
자꾸 왜 사랑이 식었는지 물어보고 싶어	자다가 이런 적은 처음이네	1
짝남이랑 만나기로 했는데 뭐 할지 추천 좀.	짝남이 학교에서 평이 안 좋아.	1
북극이야 왜케 추워	너무 추워	0
헤어진지 3개월째	헤어진지 3주.오늘 그 친구 생일	1
나 수학여행 간다	내일 수학여행가!	0
쭉쭉 나가야 하는데	뒤돌아 보지 말고 나가야 하는데	0
애니 좋아하는 사람 별로야?	애니 좋아하는 사람 별로야?	0
맘 떠난 사람이랑 계속 사귀기?	나한테 마음 떠난 사람이랑 계속 사귀기?	0
주차장이 꽉 찼어	죽는게 더 편할려나	1
짝녀한테 잘 보이고 싶은데.	짝녀한테 잘 보이고 싶은데.	0
월급 올라서 기분 좋아	월급 올랐어!	0
정신차리라고 한 마디 해줘	나 정신차리게 말해줘	0
스몰웨딩 결심했어	스몰웨딩으로 하려고	0
남친이랑 대화가 잘 돼서 좋아	남친이랑 대화가 잘 돼서 좋아	0
왜 남자친구 있는 여자를 내 마음을 흔들지?	왜 이별은 익숙해지지가 않을까	1
짝녀가 내 친구를 좋아하는 것 같음. 어떡해?	짝녀가 내 친구를 좋아하는 것 같음. 어떡해?	0
잠이 안 와	잠이 또 안와	0
정말 이건 너무하다 싶을정도로 힘들어	정말 처량하게 혼자	1
심남이 내가 좋아하는 거 눈치 챘을까?	내가 좋아하는 거 눈치 챘을까?	0
보고싶어서 미치겠는데	보내줘야 할 것 같아	1
연락이 없네	연락하지 말라고 했어	1
나 왜 사랑할까?	나 같은 애를 왜 사랑할까?	0
고시원 답답해	고시원 너무 답답해	0
저한테만 장난치는 남자애가 나 좋아하나?	저한테만 장난치는 남자애가 있는데 좋아하는 걸까요?	0
퇴근 후에 만나자고 해볼까	퇴근하고 만나자고 말해볼까	0
모든 걸 다 주니까 떠난다는 그 남자	다 해주니까 떠난다는 그 남자	0
하아 너무 많이 힘드네 ㅜㅜ	한 5개월쯤 됐네	1
짝녀 선물 어디까지 가능?	짝녀 선물 어디까지 가능?	0
여자 친구랑 헤어진지 23일째.	여자친구 무시했다가 이별 당했습니다.	1
타이밍이 기가 막혀	타이밍이 진짜 기막혀	0
몇번이나 매달려보셨어??	모든 것이 의미 없는 것이 되네	1
이별100일째.	이별노래 추천해줘.	1
미친 사람들이 왜 이렇게 많아	사이코가 너무 많아	0
연애는 하기 싫은데 썸은 타고 싶어.	연애는 싫은데 썸은 좋아.	0
오늘 마지막 인사를 하러가네	오늘 연락왔네 그래도 이젠 안녕	1
셀카 잘 찍어서 올리고 싶다.	셀카 잘 찍는 방법	0
이제 잊혀지는데 속도가 붙는거 같아.	이제 정말 놓으려합니다	1
잊어야하나?	잊지 못하겟어	1
흰머리 보여	흰머리 나	0
집착은 절대하지 말아야지	집착하지 말아야지	0
우리 추억들 모두안녕	우연히, 아니 몰래 보러간 그 아이	1
내 스타일 아니야	내 스타일 아니던데	0
이번주에 혼자 여행가려 하는데	이별 2달차 아직도 못 잊고 원망	1
